record_id,process_type,material,pulse_width_ps,frequency_kHz,laser_power_W,scan_speed_mm_s,passes,focus_offset_um,fill_pattern,hatch_spacing_um,layer_step_um,path_overlap_um,material_thickness_um,cut_length_mm,power_W,depth_um,Sa_um,Sq_um,Sz_um,removal_rate_um3_s,cut_through,kerf_top_width_um,kerf_bottom_width_um,kerf_taper_deg,cut_edge_Sa_um,HAZ_width_um,chipping_um,objective_mode,source_file,valid_flag,note,target_depth_um,log_pulse_width,log_frequency,log_hatch_spacing,log_passes,log_scan_speed,D_proxy,pulse_density_proxy,pulse_energy_uJ,areal_energy_proxy,line_energy_proxy,pulse_spacing_um,layer_count_proxy,pulse_energy_proxy,energy_density_proxy
AlSiC.csv:43,milling,AlSiC,0.5,40,,125.0,3,,none,6.0,,,,,,41.114,2.483,3.112,24.945,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,3.6888794541139363,1.791759469228055,1.0986122886681098,4.8283137373023015,0.16,0.16,,,,3.125,,,
AlSiC.csv:44,milling,AlSiC,0.5,40,,150.0,3,,none,6.0,,,,,,37.677,5.759,9.314,59.276,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,3.6888794541139363,1.791759469228055,1.0986122886681098,5.0106352940962555,0.13333333333333333,0.13333333333333333,,,,3.75,,,
AlSiC.csv:45,milling,AlSiC,0.5,40,,200.0,4,,none,8.0,,,,,,39.86,4.14,5.127,33.8,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,3.6888794541139363,2.0794415416798357,1.3862943611198906,5.298317366548036,0.1,0.1,,,,5.0,,,
AlSiC.csv:46,milling,AlSiC,0.5,40,,175.0,3,,none,10.0,,,,,,19.729,4.165,4.919,29.558,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,3.6888794541139363,2.302585092994046,1.0986122886681098,5.1647859739235145,0.06857142857142857,0.06857142857142857,,,,4.375,,,
AlSiC.csv:47,milling,AlSiC,0.5,40,,200.0,5,,none,10.0,,,,,,36.889,4.069,4.968,24.954,,,,,,,,,,AlSiC.csv,True,,,-0.6931471805599453,3.6888794541139363,2.302585092994046,1.6094379124341003,5.298317366548036,0.1,0.1,,,,5.0,,,
AlSiC.csv:48,milling,AlSiC,1.0,2,,175.0,2,,none,6.0,,,,,,2.134,2.21,2.756,11.838,,,,,,,,,,AlSiC.csv,True,,,0.0,0.6931471805599453,1.791759469228055,0.6931471805599453,5.1647859739235145,0.0038095238095238095,0.0038095238095238095,,,,87.5,,,
AlSiC.csv:49,milling,AlSiC,1.0,2,,175.0,2,,none,6.0,,,,,,3.668,2.548,3.036,12.455,,,,,,,,,,AlSiC.csv,True,,,0.0,0.6931471805599453,1.791759469228055,0.6931471805599453,5.1647859739235145,0.0038095238095238095,0.0038095238095238095,,,,87.5,,,
AlSiC.csv:50,milling,AlSiC,1.0,2,,175.0,3,,none,10.0,,,,,,4.288,1.469,1.88,14.309,,,,,,,,,,AlSiC.csv,True,,,0.0,0.6931471805599453,2.302585092994046,1.0986122886681098,5.1647859739235145,0.0034285714285714284,0.0034285714285714284,,,,87.5,,,
AlSiC.csv:51,milling,AlSiC,1.0,5,,125.0,2,,none,2.0,,,,,,13.356,1.258,1.592,12.03,,,,,,,,,,AlSiC.csv,True,,,0.0,1.6094379124341003,0.6931471805599453,0.6931471805599453,4.8283137373023015,0.04,0.04,,,,25.0,,,
AlSiC.csv:52,milling,AlSiC,1.0,5,,175.0,2,,none,2.0,,,,,,12.048,1.599,1.944,11.335,,,,,,,,,,AlSiC.csv,True,,,0.0,1.6094379124341003,0.6931471805599453,0.6931471805599453,5.1647859739235145,0.02857142857142857,0.02857142857142857,,,,35.0,,,
